dataset,categoria,organizacion,formato,filas,columnas,modificado,frecuencia_update,descripcion_ciudadana,tags_sugeridos,comp_completitud_global_pct,acc_score_accuracy_pct,cons_score_consistency_pct,uniq_score_uniqueness_pct,time_score_timeliness_pct,doc_score_documentation_pct,open_score_openness_pct,score_global
estadistica-penitenciaria-de-ingresos,Seguridad,Secretaría de Seguridad,CSV,644,15,2026-01-14T20:12:35.188886,,,[],94.81,94.67,100.0,36.96,94.9,50.0,65.0,84.36
estadistica-penitenciaria-egresos,Seguridad,Secretaría de Seguridad,CSV,7469,16,2026-01-14T20:10:53.235525,,,[],96.62,99.06,99.5,73.86,94.9,80.0,100.0,94.33
estadistica-penitenciaria-egresos,Seguridad,Secretaría de Seguridad,CSV,15,6,2026-01-14T20:10:53.235525,,,[],85.56,94.17,100.0,100.0,94.9,80.0,100.0,91.96
estadistica-penitenciaria-egresos,Seguridad,Secretaría de Seguridad,CSV,818,16,2026-01-14T20:10:53.235525,,,[],96.73,94.06,99.5,64.06,94.9,80.0,100.0,92.33
estadistica-penitenciaria-egresos,Seguridad,Secretaría de Seguridad,CSV,818,16,2026-01-14T20:10:53.235525,,,[],96.42,94.06,99.5,64.54,94.9,80.0,100.0,92.27
estadistica-penitenciaria-egresos,Seguridad,Secretaría de Seguridad,CSV,726,16,2026-01-14T20:10:53.235525,,,[],95.67,95.0,100.0,73.56,94.9,80.0,100.0,93.08
estadistica-penitenciaria,Seguridad,Secretaría de Seguridad,CSV,63693,15,2026-01-14T20:07:44.795534,,,[],97.55,97.0,93.48,70.4,94.9,70.0,100.0,91.91
estadistica-penitenciaria,Seguridad,Secretaría de Seguridad,CSV,67343,15,2026-01-14T20:07:44.795534,,,[],97.53,95.67,77.28,69.64,94.9,70.0,100.0,89.08
estadistica-penitenciaria,Seguridad,Secretaría de Seguridad,CSV,14,6,2026-01-14T20:07:44.795534,,,[],84.52,88.33,100.0,100.0,94.9,70.0,100.0,89.18
estadistica-penitenciaria,Seguridad,Secretaría de Seguridad,CSV,11401,15,2026-01-14T20:07:44.795534,,,[],97.53,94.33,89.22,71.06,94.9,70.0,100.0,90.65
estadistica-penitenciaria,Seguridad,Secretaría de Seguridad,CSV,11296,15,2026-01-14T20:07:44.795534,,,[],97.51,94.33,89.2,71.46,94.9,70.0,100.0,90.68
estadistica-penitenciaria,Seguridad,Secretaría de Seguridad,CSV,11214,15,2026-01-14T20:07:44.795534,,,[],97.51,94.33,89.7,71.2,94.9,70.0,100.0,90.73
rutas-por-empresa-stc-metrorrey,Sin categoría,Sistema de Transporte Colectivo Metrorrey,CSV,36,15,2025-11-13T01:19:32.083103,,,[],67.78,94.67,94.44,100.0,91.45,70.0,100.0,84.74
rutas-por-empresa-stc-metrorrey,Sin categoría,Sistema de Transporte Colectivo Metrorrey,CSV,6,6,2025-11-13T01:19:32.083103,,,[],100.0,96.67,100.0,100.0,91.45,70.0,100.0,95.74
